id,amenity,geometry,risk_score
342106701,clinic,POINT (79.9263286 29.6560947),0.7
342115702,school,POINT (78.0853374 30.4239911),0.4
448416031,police,POINT (78.04183 30.48908),0.5
583871504,school,POINT (78.1010015 30.4540018),0.4
583884416,hospital,POINT (78.0951087 30.4589803),0.8
747102861,shelter,POINT (79.4397181 29.4066129),0.9
1171894758,school,POINT (78.1578767 30.3970789),0.4
1332264553,school,POINT (79.4616393 29.3750372),0.4
1332264554,school,POINT (79.4599064 29.3745583),0.4
1332264555,school,POINT (79.4614719 29.3763027),0.4
1356150439,shelter,POINT (78.4663398 30.8421691),0.9
1446558742,school,POINT (78.0509665 30.4722057),0.4
1446757640,school,POINT (78.0504951 30.469815),0.4
1697822274,hospital,POINT (78.0500178 30.3179409),0.8
1697822276,hospital,POINT (78.0503182 30.319395),0.8
1697822631,police,POINT (78.0540411 30.3250628),0.5
1697826481,school,POINT (78.0580698 30.3219974),0.4
1710195907,school,POINT (78.0372643 30.3311104),0.4
1718155221,police,POINT (79.5293165 29.2176092),0.5
1805659946,school,POINT (79.4538661 29.3826549),0.4
1854105148,hospital,POINT (78.0474883 30.3121892),0.8
1854124474,school,POINT (78.0486828 30.3222578),0.4
1854138785,police,POINT (78.0428731 30.3257766),0.5
1887554875,hospital,POINT (78.0086156 30.3328985),0.8
1887561123,hospital,POINT (78.0101122 30.3329685),0.8
2047659896,school,POINT (78.0893993 30.4453065),0.4
2047660248,school,POINT (78.0892599 30.4491542),0.4
2054741736,hospital,POINT (78.0901685 30.4488078),0.8
2364476889,hospital,POINT (78.0043453 30.5720996),0.8
2387032790,pharmacy,POINT (78.0197936 30.3388135),0.6
2387033992,pharmacy,POINT (78.0265528 30.3337669),0.6
2387034388,pharmacy,POINT (78.0267674 30.333628),0.6
3325564176,school,POINT (78.2131537 30.0675212),0.4
3390678157,school,POINT (78.0614579 30.2887937),0.4
3402049307,school,POINT (78.0246315 30.36386),0.4
3519362070,police,POINT (78.0503148 30.3301055),0.5
3519959271,school,POINT (78.0564299 30.3389488),0.4
3663758312,clinic,POINT (78.3217719 30.1281569),0.7
3663758313,clinic,POINT (78.3224172 30.1282071),0.7
3709894659,hospital,POINT (78.013544 30.3380984),0.8
3812555176,police,POINT (78.315233 30.1222342),0.5
3815685509,pharmacy,POINT (78.3129223 30.1173131),0.6
3820695493,police,POINT (78.3531291 30.1256315),0.5
3869765724,police,POINT (78.3890139 30.1377415),0.5
3869767158,police,POINT (78.2944833 30.1283204),0.5
4037486796,hospital,POINT (78.1481148 29.9329804),0.8
4037497456,hospital,POINT (78.1365861 29.9316466),0.8
4037544755,hospital,POINT (78.1336284 29.9337515),0.8
4037544756,hospital,POINT (78.1337473 29.9334384),0.8
4129769756,hospital,POINT (78.2898977 30.1068971),0.8
4165218454,hospital,POINT (77.9596015 30.3430865),0.8
4165237313,hospital,POINT (77.9676696 30.4169652),0.8
4176770790,school,POINT (78.3236966 30.1306319),0.4
4176780292,school,POINT (78.329336 30.1237357),0.4
4177522403,school,POINT (79.4158683 29.6585093),0.4
4194985026,school,POINT (80.2376397 30.0796791),0.4
4207539022,community_centre,POINT (78.0870105 30.3985396),0.3
4212033321,school,POINT (78.0762316 30.4577842),0.4
4254488391,school,POINT (77.9940959 30.2737504),0.4
4254504792,hospital,POINT (78.0422984 30.3196005),0.8
4254504794,school,POINT (77.9940942 30.28497),0.4
4255814491,hospital,POINT (78.0424823 30.3184253),0.8
4277813970,shelter,POINT (79.5805808 30.6479965),0.9
4383828294,clinic,POINT (78.3299207 30.123965),0.7
4384016392,community_centre,POINT (78.3269326 30.1287669),0.3
4462139194,police,POINT (78.3225254 30.1281763),0.5
4498501389,school,POINT (78.3277589 30.1230096),0.4
4591296589,community_centre,POINT (78.1425201 30.1222438),0.3
4712005944,school,POINT (77.9976318 30.2727803),0.4
4712075544,school,POINT (77.9983831 30.2659709),0.4
4741389520,school,POINT (78.0393824 30.3222261),0.4
4793451326,police,POINT (79.9699247 28.9198133),0.5
4852903921,school,POINT (79.4340514 29.6397894),0.4
4890157223,community_centre,POINT (79.5090871 29.3132312),0.3
4934164496,school,POINT (78.3172012 30.1197495),0.4
4984049622,school,POINT (78.412895 30.1522106),0.4
5040710622,shelter,POINT (79.5834107 30.6513174),0.9
5040710625,shelter,POINT (79.5867341 30.6577299),0.9
5040710627,shelter,POINT (79.5896109 30.7221286),0.9
5040736222,shelter,POINT (79.58993 30.7188053),0.9
5040737421,shelter,POINT (79.5903667 30.7151843),0.9
5296886723,hospital,POINT (78.4259375 30.7339389),0.8
5869331753,shelter,POINT (78.0667305 30.348665),0.9
5871838920,school,POINT (78.0713821 30.3645565),0.4
5893335680,police,POINT (78.0694594 30.3400573),0.5
5893335682,school,POINT (78.068151 30.3393625),0.4
5893341499,school,POINT (78.0797113 30.3518393),0.4
5893973685,school,POINT (78.3207767 30.1322684),0.4
5933577656,community_centre,POINT (78.0548645 30.4692452),0.3
5933584727,community_centre,POINT (78.0556584 30.469088),0.3
6066288486,school,POINT (77.9906786 30.2719338),0.4
6115840284,fire_station,POINT (78.0188228 30.3450796),0.6
6152910885,school,POINT (78.3238407 30.1236825),0.4
6189905565,school,POINT (79.4305219 30.4399505),0.4
6273442085,school,POINT (78.3244654 30.1292789),0.4
6327434932,police,POINT (78.0683109 30.3631301),0.5
6375647986,school,POINT (78.3149063 30.1499063),0.4
6390039985,school,POINT (78.3202902 30.1289512),0.4
6404653673,school,POINT (78.3407322 30.1054289),0.4
6404653674,school,POINT (78.3407322 30.1054149),0.4
6520171763,shelter,POINT (79.3116241 30.4920171),0.9
6520210189,shelter,POINT (79.9941225 30.2515917),0.9
6520213427,shelter,POINT (78.5482609 30.8447196),0.9
6520217465,shelter,POINT (79.2976206 30.4867804),0.9
6520222521,shelter,POINT (78.9353379 30.629276),0.9
6520252414,shelter,POINT (80.4975617 30.0617422),0.9
6520259463,shelter,POINT (80.2712109 30.2127153),0.9
6520261509,shelter,POINT (80.2713347 30.1804342),0.9
6532601968,shelter,POINT (78.1878189 31.0226928),0.9
6532616062,shelter,POINT (78.1779294 31.0320272),0.9
6532625907,shelter,POINT (78.180223 31.0108944),0.9
6574850286,police,POINT (79.5676071 30.5355032),0.5
6575905785,police,POINT (78.4832423 30.3766607),0.5
6575905786,police,POINT (78.4767657 30.3790471),0.5
6581821447,hospital,POINT (78.0576667 30.3207776),0.8
6581821448,school,POINT (78.0546571 30.3226624),0.4
6649636590,school,POINT (78.3832739 30.087119),0.4
6738229796,school,POINT (78.0560347 30.3047642),0.4
6738243382,school,POINT (78.053382 30.3132069),0.4
6743147665,school,POINT (78.0291241 30.3034466),0.4
6766523849,hospital,POINT (77.8762839 29.8722266),0.8
6855183086,community_centre,POINT (79.666172 29.6519406),0.3
6895578193,hospital,POINT (78.2861301 30.0808844),0.8
6897688071,hospital,POINT (78.2864837 30.0808782),0.8
6950253649,clinic,POINT (77.997745 30.2837296),0.7
6950590486,hospital,POINT (78.937304 29.2108967),0.8
6950590491,hospital,POINT (77.8857172 29.8680287),0.8
6950590496,hospital,POINT (79.5155219 29.2191868),0.8
6950590501,clinic,POINT (79.5194679 28.9177396),0.7
6950590506,hospital,POINT (78.0209032 30.304785),0.8
6950590507,hospital,POINT (79.3945972 28.971825),0.8
6950590512,clinic,POINT (78.0506355 30.3189236),0.7
6950590517,hospital,POINT (79.6997313 28.9207227),0.8
6950590527,hospital,POINT (78.94214 29.2056185),0.8
6950590540,clinic,POINT (78.0479398 30.327541),0.7
6950590545,clinic,POINT (77.8870247 29.8669494),0.7
6950590555,hospital,POINT (78.9554639 29.2146254),0.8
6950590565,hospital,POINT (80.0943259 29.3380125),0.8
6950590570,clinic,POINT (79.5180633 29.2170121),0.7
6950590575,clinic,POINT (77.8816737 29.8727107),0.7
6950590580,hospital,POINT (78.0498482 30.2909374),0.8
6950595585,hospital,POINT (78.0363594 29.761553),0.8
6950595594,hospital,POINT (78.0540472 30.3068298),0.8
6950595599,clinic,POINT (78.9640161 29.2139646),0.7
6950595604,hospital,POINT (78.1475329 29.9325864),0.8
6950595609,clinic,POINT (78.0121377 30.3108936),0.7
6950595614,hospital,POINT (78.9660948 29.2223125),0.8
6950595625,clinic,POINT (79.5173176 29.2186109),0.7
6950865497,hospital,POINT (78.1177497 29.9234405),0.8
6950884628,clinic,POINT (77.8797761 29.8685334),0.7
6950886264,clinic,POINT (77.8803393 29.8686985),0.7
6950904473,hospital,POINT (78.054412 30.3163536),0.8
6950932664,clinic,POINT (77.879253 29.8565262),0.7
6950964468,hospital,POINT (78.0223811 30.3363706),0.8
6950969272,hospital,POINT (78.0235478 30.3338774),0.8
6950985617,clinic,POINT (78.0601707 30.3350581),0.7
6950986960,hospital,POINT (78.9532927 29.2056677),0.8
6950986965,clinic,POINT (78.9667895 29.2245456),0.7
6950999156,hospital,POINT (78.002518 30.2820388),0.8
6951002353,hospital,POINT (78.0886424 30.382057),0.8
6951037662,hospital,POINT (79.4004504 28.9845291),0.8
6951076339,hospital,POINT (79.9666527 28.9164639),0.8
6951104297,hospital,POINT (78.9646961 29.2367205),0.8
6951133509,hospital,POINT (79.4010486 28.9867404),0.8
6951133514,hospital,POINT (79.9652016 28.9161587),0.8
6951150099,hospital,POINT (79.7998542 28.9406787),0.8
6951174600,hospital,POINT (79.3981263 28.9824339),0.8
6951177665,hospital,POINT (78.9707297 29.2046235),0.8
6951329783,hospital,POINT (79.506796 28.9062457),0.8
6951332936,hospital,POINT (79.3976395 28.9811645),0.8
6951338325,hospital,POINT (78.9608445 29.2248336),0.8
6951338696,clinic,POINT (78.9795515 29.1990102),0.7
6951364080,hospital,POINT (78.98045 29.2007194),0.8
6951370636,hospital,POINT (79.1504216 29.1679833),0.8
6951379644,hospital,POINT (79.3989229 28.9818461),0.8
6951426983,clinic,POINT (78.965883 29.2222071),0.7
6951435657,clinic,POINT (79.3980914 28.9827025),0.7
6951454905,clinic,POINT (78.9650501 29.2173568),0.7
6951706678,hospital,POINT (79.5215112 29.2066422),0.8
6951729041,hospital,POINT (77.8804117 29.8590013),0.8
6951822145,clinic,POINT (78.1079422 29.9270611),0.7
6951884828,hospital,POINT (78.1351599 29.9316787),0.8
6951902867,clinic,POINT (77.8787944 29.8628091),0.7
6951951139,hospital,POINT (78.123208 30.1798225),0.8
6951957224,hospital,POINT (77.7767081 30.4719649),0.8
6951960632,clinic,POINT (78.0527356 30.318361),0.7
6951963408,hospital,POINT (78.0219117 30.3371647),0.8
6951986574,hospital,POINT (78.04785 30.3112213),0.8
6951991798,hospital,POINT (78.0685231 30.282846),0.8
6951994311,hospital,POINT (78.0658168 30.3271255),0.8
6952010057,clinic,POINT (78.0436885 30.3152514),0.7
6952073470,hospital,POINT (78.0231428 30.2875988),0.8
6952104090,hospital,POINT (77.7554543 30.4483164),0.8
6952104642,hospital,POINT (78.0538367 30.3316376),0.8
6952106515,clinic,POINT (78.0253597 30.3529535),0.7
6952110670,hospital,POINT (78.0508983 30.2917978),0.8
6952128589,clinic,POINT (78.0012372 30.2789269),0.7
6952139077,hospital,POINT (78.0523923 30.3143113),0.8
6952147102,hospital,POINT (78.0147126 30.3236075),0.8
6952161744,hospital,POINT (77.766729 30.4694358),0.8
6952166447,clinic,POINT (78.0208468 30.3337941),0.7
6952173379,hospital,POINT (78.1388131 29.9208694),0.8
6953071745,clinic,POINT (78.0046999 30.3247651),0.7
6953071750,hospital,POINT (77.879021 29.8666738),0.8
6953071758,hospital,POINT (78.9527898 29.2045275),0.8
6953071763,hospital,POINT (78.9695509 29.2050929),0.8
6953071770,hospital,POINT (79.5180888 29.2172941),0.8
6953071775,hospital,POINT (78.1372654 29.9243843),0.8
6953083990,hospital,POINT (78.0050567 30.3247211),0.8
6953276702,clinic,POINT (78.1194395 29.9241983),0.7
6953276749,clinic,POINT (77.7664527 30.468733),0.7
6953276754,hospital,POINT (79.1371755 29.1589471),0.8
6953276759,hospital,POINT (79.4389629 29.6433836),0.8
6953276765,hospital,POINT (78.9499171 29.2048096),0.8
6953276770,clinic,POINT (78.050673 30.3190186),0.7
6953276771,hospital,POINT (78.0290544 30.3184444),0.8
6953276776,hospital,POINT (78.192692 29.9892436),0.8
6953276781,clinic,POINT (78.96676 29.2067891),0.7
6953301796,hospital,POINT (77.8849487 29.8730596),0.8
6953301797,hospital,POINT (78.0512014 30.3153417),0.8
6953301802,clinic,POINT (78.0313276 30.3267388),0.7
6953301807,hospital,POINT (78.9638324 29.2188749),0.8
6953301812,hospital,POINT (77.8782955 29.8782332),0.8
6953552499,hospital,POINT (79.6385796 29.5929327),0.8
6953552504,hospital,POINT (78.0485205 30.310353),0.8
6953552509,clinic,POINT (78.123436 29.9254664),0.7
6953552514,hospital,POINT (77.8800939 29.8690253),0.8
6953552515,hospital,POINT (78.5239656 29.7503096),0.8
6953552520,clinic,POINT (77.8786321 29.8668703),0.7
6953552525,hospital,POINT (78.0677506 30.3644053),0.8
6953594366,clinic,POINT (79.9585779 28.9246281),0.7
6953641697,hospital,POINT (78.9638914 29.2158129),0.8
6953658577,hospital,POINT (78.9481093 29.2038286),0.8
6953689258,hospital,POINT (79.6563479 29.5970691),0.8
6953738074,hospital,POINT (78.1358398 29.9330641),0.8
6953770681,hospital,POINT (79.6523005 29.6019456),0.8
6953826077,hospital,POINT (77.8811091 29.8698382),0.8
6953845203,hospital,POINT (78.0719215 29.9325411),0.8
6953852979,clinic,POINT (77.8798941 29.8569333),0.7
6953930189,hospital,POINT (78.0333661 30.3175726),0.8
6953932199,clinic,POINT (78.0512483 30.298808),0.7
6953935730,hospital,POINT (78.0513221 30.3152005),0.8
6954089422,hospital,POINT (80.211195 29.5874481),0.8
6954105522,clinic,POINT (77.8880145 29.8759947),0.7
6954268531,hospital,POINT (77.8763254 29.8789007),0.8
6954284920,clinic,POINT (79.5229073 29.2207763),0.7
6954359357,clinic,POINT (78.0601144 30.3101527),0.7
6954413471,hospital,POINT (78.972103 29.2266102),0.8
6954415814,hospital,POINT (78.9712983 29.226128),0.8
6954421585,clinic,POINT (78.9668794 29.2071368),0.7
6954456914,hospital,POINT (79.397268 28.9819071),0.8
6954506663,hospital,POINT (78.0219506 30.3125064),0.8
6954513193,hospital,POINT (78.1295487 30.1773948),0.8
6954522231,hospital,POINT (78.0214584 30.3029695),0.8
6954547189,hospital,POINT (79.965726 28.9235012),0.8
6954923280,hospital,POINT (77.8763214 29.8706639),0.8
6954923281,clinic,POINT (77.8781117 29.8580766),0.7
6954924474,hospital,POINT (78.9607277 29.2106099),0.8
6954957786,clinic,POINT (77.8796446 29.8567542),0.7
6954960842,hospital,POINT (79.3996489 28.9818508),0.8
6954960871,hospital,POINT (79.1465995 29.1526813),0.8
6954972076,clinic,POINT (78.9703971 29.2040826),0.7
6954976960,hospital,POINT (79.3974504 28.9822403),0.8
6954999767,hospital,POINT (78.0223086 30.3324791),0.8
6955008110,hospital,POINT (78.0579914 30.291169),0.8
6955029549,clinic,POINT (78.0645373 30.2844836),0.7
6956686288,hospital,POINT (78.082425 29.9164221),0.8
6956686293,hospital,POINT (77.8785831 29.8623119),0.8
6956686298,hospital,POINT (78.0593446 30.3409877),0.8
6956686303,clinic,POINT (78.9640617 29.214585),0.7
6956686308,clinic,POINT (78.5244088 29.7540354),0.7
6956686313,hospital,POINT (78.0530977 30.2983402),0.8
6956686342,hospital,POINT (78.1578192 29.9514091),0.8
6956686347,hospital,POINT (77.9986905 30.2919587),0.8
6956686352,hospital,POINT (79.6588343 29.5979658),0.8
6956686357,hospital,POINT (78.7790128 30.2207727),0.8
6956686362,hospital,POINT (79.5330433 29.234865),0.8
6956959632,clinic,POINT (77.8789178 29.8656841),0.7
6956959638,clinic,POINT (79.4010995 28.9805718),0.7
6956959643,hospital,POINT (79.502866 28.9128343),0.8
6956959648,clinic,POINT (78.0747955 30.2936772),0.7
6956959653,hospital,POINT (79.7755091 29.8395306),0.8
6957050048,clinic,POINT (78.1372654 29.9166035),0.7
6957061698,hospital,POINT (77.8786629 29.8626463),0.8
